This is the Unicode coverage file for DejaVu fonts
($Id$)

Control and similar characters are discounted from totals.

                                                Sans               Serif              Sans Mono          
U+a000 Yi Syllables                                  (0/1168)           (0/1168)           (0/1168)     
U+a490 Yi Radicals                                   (0/64)             (0/64)             (0/64)       
U+ac00 Hangul Syllables                              (0/11182)          (0/11182)          (0/11182)    
U+d800 High Surrogates                               (0/894)            (0/894)            (0/894)      
U+db80 High Private Use Surrogates                   (0/126)            (0/126)            (0/126)      
U+dc00 Low Surrogates                                (0/1022)           (0/1022)           (0/1022)     
U+e000 Private Use Area                              (0/6398)           (0/6398)           (0/6398)     
U+f900 CJK Compatibility Ideographs                  (0/512)            (0/512)            (0/512)      
U+fb00 Alphabetic Presentation Forms              2% (2/80)          2% (2/80)          2% (2/80)       
U+fb50 Arabic Presentation Forms-A                   (0/688)            (0/688)            (0/688)      
U+fe00 Variation Selectors                           (0/16)             (0/16)             (0/16)       
U+fe20 Combining Half Marks                          (0/16)             (0/16)             (0/16)       
U+fe30 CJK Compatibility Forms                       (0/32)             (0/32)             (0/32)       
U+fe50 Small Form Variants                           (0/32)             (0/32)             (0/32)       
U+fe70 Arabic Presentation Forms-B                   (0/144)            (0/144)            (0/144)      
U+ff00 Halfwidth and Fullwidth Forms                 (0/240)            (0/240)            (0/240)      
U+fff0 Specials                                      (0/16)             (0/16)             (0/16)       
U+10000 Linear B Syllabary                            (0/128)            (0/128)            (0/128)      
U+10080 Linear B Ideograms                            (0/128)            (0/128)            (0/128)      
U+10100 Aegean Numbers                                (0/64)             (0/64)             (0/64)       
U+10300 Old Italic                                    (0/48)             (0/48)             (0/48)       
U+10330 Gothic                                        (0/32)             (0/32)             (0/32)       
U+10380 Ugaritic                                      (0/32)             (0/32)             (0/32)       
U+10400 Deseret                                       (0/80)             (0/80)             (0/80)       
U+10450 Shavian                                       (0/48)             (0/48)             (0/48)       
U+10480 Osmanya                                       (0/48)             (0/48)             (0/48)       
U+10800 Cypriot Syllabary                             (0/64)             (0/64)             (0/64)       
U+1d000 Byzantine Musical Symbols                     (0/256)            (0/256)            (0/256)      
U+1d100 Musical Symbols                               (0/256)            (0/256)            (0/256)      
U+1d300 Tai Xuan Jing Symbols                         (0/96)             (0/96)             (0/96)       
U+1d400 Mathematical Alphanumeric Symbols             (0/1024)           (0/1024)           (0/1024)     
U+20000 CJK Unified Ideographs Extension B            (0/42718)          (0/42718)          (0/42718)    
U+2f800 CJK Compatibility Ideographs Supplement       (0/544)            (0/544)            (0/544)      
U+e0000 Tags                                          (0/128)            (0/128)            (0/128)      
U+e0100 Variation Selectors Supplement                (0/240)            (0/240)            (0/240)      
U+f0000 Supplementary Private Use Area-A              (0/65534)          (0/65534)          (0/65534)    
U+100000 Supplementary Private Use Area-B              (0/65534)          (0/65534)          (0/65534)    
